id,title,industry,category,salary_min,salary_max,salary_median,growth_outlook,growth_percent,education,experience_years_min,certifications_recommended,top_states,union_common,work_environment,description
1,Apprentice Electrician,Construction,Electrical,29000,46000,37000,High,11,Apprenticeship,0,OSHA 10,TX|FL|CA|NY|OH,Sometimes,Both,Apprentice electricians learn to install and maintain electrical wiring and equipment under journeyman supervision over a 4-5 year program.
2,Journeyman Electrician,Construction,Electrical,60600,76600,68000,High,11,Apprenticeship,4,OSHA 10|NEC Knowledge|State License,TX|CA|FL|NY|WA,Sometimes,Both,Journeyman electricians independently install; maintain; and repair electrical systems in residential; commercial; and industrial settings.
3,Master Electrician,Construction,Electrical,90000,135000,105000,High,11,Apprenticeship,8,Master Electrician License|OSHA 30|NEC,CA|NY|WA|MA|IL,Sometimes,Both,Master electricians design electrical systems; pull permits; manage crews; and oversee complex installations requiring advanced code knowledge.
4,Electrical Foreman,Construction,Electrical,85000,120000,100000,High,11,Apprenticeship,7,OSHA 30|Master Electrician License,TX|CA|FL|NY|OH,Sometimes,Both,Electrical foremen supervise crews of 5-15 electricians on commercial and industrial projects; coordinating daily tasks and quality control.
5,Electrical Inspector,Construction,Electrical,65000,95000,78000,High,9,Trade school certificate,5,ICC Electrical Inspector|OSHA 30|NEC,CA|TX|FL|NY|IL,No,Both,Electrical inspectors examine electrical installations and systems to ensure compliance with the National Electrical Code and local building codes.
6,Electrical Estimator,Construction,Electrical,70000,110000,88000,High,9,Associate degree,5,CPE|OSHA 10|NEC,TX|CA|FL|NY|OH,Sometimes,Indoor,Electrical estimators analyze blueprints and specifications to prepare detailed cost estimates for electrical construction projects.
7,Data Center Electrician,Construction,Electrical,65000,200000,120000,Very High,11,Apprenticeship,3,OSHA 30|NFPA 70E|Arc Flash,VA|TX|AZ|OH|GA,Sometimes,Indoor,Data center electricians install and maintain critical power systems including UPS; generators; and switchgear in mission-critical facilities.
8,Lineman,Energy,Electrical,60000,100000,78000,High,8,Apprenticeship,3,CDL|OSHA 10|Climbing Certification,TX|CA|FL|GA|OH,Yes,Outdoor,Linemen install and maintain electrical power lines and distribution systems; working at extreme heights on poles and towers in all weather.
9,Apprentice Plumber,Construction,Plumbing,42000,53900,46000,Average,4,Apprenticeship,0,OSHA 10,TX|FL|CA|NY|OH,Sometimes,Both,Apprentice plumbers learn to install and repair piping systems under journeyman supervision over a 4-5 year registered apprenticeship.
10,Journeyman Plumber,Construction,Plumbing,65000,75800,69000,Average,4,Apprenticeship,4,State Journeyman License|OSHA 10,CA|TX|FL|NY|MA,Sometimes,Both,Journeyman plumbers independently install; inspect; and repair pipes and plumbing systems for water; gas; and drainage in buildings.
11,Master Plumber,Construction,Plumbing,80000,110000,95000,Average,4,Apprenticeship,8,Master Plumber License|OSHA 30|Backflow Certification,CA|NY|TX|MA|IL,Sometimes,Both,Master plumbers design plumbing systems; pull permits; run businesses; and supervise journeymen and apprentices on complex projects.
12,Plumbing Foreman,Construction,Plumbing,75000,100000,87000,Average,4,Apprenticeship,7,Master Plumber License|OSHA 30,TX|CA|FL|NY|OH,Sometimes,Both,Plumbing foremen supervise plumbing crews on commercial and residential construction projects; managing materials; schedules; and quality.
13,Steamfitter/Pipefitter,Construction,Pipefitting,70000,100000,85000,Average,4,Apprenticeship,4,UA Journeyman Card|OSHA 30|Welding Cert,TX|CA|OH|PA|LA,Yes,Both,Steamfitters install and maintain high-pressure piping systems for steam; heating; cooling; and industrial process applications.
14,Medical Gas Plumber,Construction,Plumbing,72000,105000,88000,High,6,Apprenticeship,5,ASSE 6010|OSHA 30|Medical Gas Certification,CA|TX|FL|NY|OH,Sometimes,Indoor,Medical gas plumbers install and certify specialized piping systems for oxygen; nitrogen; and other medical gases in healthcare facilities.
15,Apprentice HVAC Technician,Construction,HVAC,38000,54100,44000,High,8,Apprenticeship,0,EPA 608|OSHA 10,TX|FL|CA|AZ|GA,Sometimes,Both,Apprentice HVAC technicians learn to install and service heating; ventilation; and air conditioning systems under experienced technician supervision.
16,HVAC Installation Technician,Construction,HVAC,54100,65700,59000,High,8,Trade school certificate,2,EPA 608|NATE|OSHA 10|R-410A,TX|FL|CA|AZ|GA,Sometimes,Both,HVAC installation technicians install new heating and cooling systems in residential and commercial buildings following manufacturer specifications.
17,HVAC Service Technician,Construction,HVAC,58000,75000,65000,High,8,Trade school certificate,3,EPA 608|NATE|OSHA 10|R-410A,FL|TX|CA|AZ|GA,Sometimes,Both,HVAC service technicians diagnose; troubleshoot; and repair malfunctions in heating; cooling; and ventilation equipment at customer locations.
