id,name,issuing_body,industry,trade,cost,renewal_cost,validity_years,ce_hours,prerequisites,level,cert_type,states_required,description
1,OSHA 10-Hour Construction,OSHA,Construction,General Safety,25,25,5,0,None,Entry,Safety,"CT|MO|NV|NH|NY|MA|RI","Entry-level 10-hour construction safety course covering hazard identification; worker rights; and OSHA standards under 29 CFR 1926"
2,OSHA 10-Hour General Industry,OSHA,Construction,General Safety,25,25,5,0,None,Entry,Safety,Recommended,"Entry-level 10-hour general industry safety course covering hazard identification; worker rights; and OSHA standards under 29 CFR 1910"
3,OSHA 30-Hour Construction,OSHA,Construction,General Safety,59,59,5,0,None,Intermediate,Safety,Recommended,"30-hour comprehensive construction safety course for supervisors; foremen; and safety directors covering advanced hazard controls and OSHA compliance"
4,OSHA 30-Hour General Industry,OSHA,Construction,General Safety,59,59,5,0,None,Intermediate,Safety,Recommended,"30-hour general industry safety course for supervisors and safety managers covering process safety management; ergonomics; and recordkeeping"
5,EPA Section 608 Type I,EPA,HVAC,HVAC,20,0,0,0,None,Entry,Environmental,All,"Federal certification for technicians servicing small appliances containing 5 lbs or less of refrigerant such as window AC units and household refrigerators"
6,EPA Section 608 Type II,EPA,HVAC,HVAC,20,0,0,0,None,Intermediate,Environmental,All,"Federal certification for technicians servicing high-pressure appliances such as residential AC; commercial refrigeration; and chillers using R-410A/R-22"
7,EPA Section 608 Type III,EPA,HVAC,HVAC,20,0,0,0,None,Intermediate,Environmental,All,"Federal certification for technicians servicing low-pressure appliances such as large commercial/industrial centrifugal chillers using R-11 and R-123"
8,EPA Section 608 Universal,EPA,HVAC,HVAC,30,0,0,0,None,Advanced,Environmental,All,"Combined Type I + II + III federal certification for technicians servicing all refrigerant-containing equipment; the industry standard for HVAC professionals"
9,CPR/First Aid/AED,AHA,Construction,General Safety,60,60,2,0,None,Entry,Safety,Recommended,"CPR; First Aid; and AED certification covering emergency response procedures; required by most construction sites for at least one certified responder per crew"
10,HAZWOPER 40-Hour,OSHA,Construction,General Safety,275,85,1,8,None,Intermediate,Safety,All,"40-hour hazardous waste operations and emergency response training required for workers at uncontrolled hazardous waste sites under 29 CFR 1910.120"
11,HAZWOPER 24-Hour,OSHA,Construction,General Safety,200,85,1,8,None,Intermediate,Safety,All,"24-hour HAZWOPER training for occasional site workers unlikely to exceed permissible exposure limits at hazardous waste operations"
12,HAZWOPER 8-Hour Supervisor,OSHA,Construction,General Safety,115,85,1,8,HAZWOPER 40-Hour,Advanced,Safety,All,"Additional 8-hour supervisor training for on-site managers at hazardous waste operations; required in addition to 40-hour base course"
13,Confined Space Entry,OSHA,Construction,General Safety,100,100,1,0,None,Entry,Safety,All,"Training for workers entering permit-required confined spaces covering atmospheric testing; ventilation; rescue procedures; and PPE requirements"
14,Forklift / PIT Certification,OSHA,Construction,General Safety,70,70,3,0,None,Entry,Equipment,All,"Powered industrial truck operator certification under 29 CFR 1910.178 covering formal instruction; practical training; and workplace competency evaluation"
15,Scaffold Safety - User,OSHA,Construction,General Safety,50,50,1,0,None,Entry,Safety,All,"Scaffold user safety training covering hazard recognition and safe work procedures on scaffolds per 29 CFR 1926 Subpart L"
16,Scaffold Safety - Competent Person,OSHA,Construction,General Safety,175,175,1,0,Scaffold Safety - User,Advanced,Safety,All,"Advanced scaffold training for competent persons who design rigging; identify hazards; and authorize corrective measures for scaffold systems"
17,Fall Protection,OSHA,Construction,General Safety,60,60,1,0,None,Entry,Safety,All,"Fall protection training covering personal fall arrest systems; guardrails; safety nets; and proper use of fall prevention equipment per OSHA standards"
18,NFPA 70E Electrical Safety,NFPA,Construction,Electrical,150,150,3,0,None,Intermediate,Safety,Recommended,"Electrical safety in the workplace training covering arc flash risk assessment; shock hazard analysis; PPE selection; and lockout/tagout procedures"
19,Journeyman Electrician License,State Licensing Board,Construction,Electrical,500,200,0,0,"4-5 years apprenticeship (8000-10000 hours)|Classroom instruction",Intermediate,Trade License,"AL|AK|AZ|AR|CA|CT|DE|FL|GA|HI|ID|IA|KY|LA|ME|MD|MA|MI|MN|MS|MT|NE|NV|NH|NJ|NM|NC|ND|OH|OK|OR|RI|SC|SD|TN|TX|UT|VT|VA|WA|WV|WI|WY","State-issued license authorizing independent electrical work after completing apprenticeship program and passing trade examination"
20,Master Electrician License,State Licensing Board,Construction,Electrical,600,200,0,0,"Journeyman Electrician License|1-4 years additional experience",Master,Trade License,"AL|AK|AZ|AR|CA|CT|DE|FL|GA|HI|ID|IA|KY|LA|ME|MD|MA|MI|MN|MS|MT|NE|NV|NH|NJ|NM|NC|ND|OH|OK|OR|RI|SC|SD|TN|TX|UT|VT|VA|WA|WV|WI|WY","Highest-level state electrician license authorizing supervision of electrical work; hiring journeymen; and pulling permits"
21,CDL Class A,DOT,Construction,Linework,5000,150,5,0,"21+ years old (interstate)|DOT medical card",Intermediate,Trade License,All,"Commercial driver license required for operating bucket trucks; digger derricks; and heavy utility vehicles used in electrical linework"
22,Flagger Certification,ATSSA,Construction,General Safety,100,100,3,0,None,Entry,Safety,Recommended,"Traffic control zone flagger certification covering safe work zone setup; traffic direction; and proper signaling procedures"
23,NATE Ready-to-Work,NATE,HVAC,HVAC,50,30,2,16,None,Entry,Specialty,Recommended,"Entry-level HVAC certificate demonstrating basic job readiness and foundational knowledge of heating; ventilation; and air conditioning systems"
24,NATE HVAC Support Technician,NATE,HVAC,HVAC,100,30,2,16,None,Entry,Specialty,Recommended,"Foundation-level HVAC certification validating core technical skills for support technician roles in residential and light commercial systems"
25,NATE Professional (Core + Specialty),NATE,HVAC,HVAC,300,35,2,16,NATE HVAC Support Technician|Field experience,Intermediate,Specialty,Recommended,"Industry gold standard HVAC certification requiring Core exam plus at least one Specialty exam; certified technicians earn 10-20% more on average"
26,R-410A Safety Certification,ESCO Group,HVAC,HVAC,65,0,0,0,None,Intermediate,Safety,Recommended,"Safety certification for handling R-410A refrigerant which operates at 60% higher pressure than R-22; covers brazing techniques and system design differences"
27,HVAC Excellence Professional,HVAC Excellence,HVAC,HVAC,100,0,5,0,None,Intermediate,Specialty,Recommended,"Professional-level HVAC certification covering electrical; heating; air conditioning; heat pumps; and refrigeration specialties"
28,HVAC Excellence Master Specialist,HVAC Excellence,HVAC,HVAC,150,0,5,0,HVAC Excellence Professional,Master,Specialty,Recommended,"Master-level HVAC certification demonstrating expert proficiency across multiple HVAC specialty areas including commercial refrigeration"
29,Journeyman Plumber License,State Licensing Board,Construction,Plumbing,500,200,0,0,"4-5 years apprenticeship (8000-10000 hours)|Classroom instruction",Intermediate,Trade License,"AL|AK|AZ|AR|CA|CT|DE|FL|GA|HI|ID|IA|KY|LA|ME|MD|MA|MI|MN|MS|MT|NE|NV|NH|NJ|NM|NC|ND|OH|OK|OR|RI|SC|SD|TN|TX|UT|VT|VA|WA|WV|WI|WY","State-issued license authorizing independent plumbing work including DWV systems; water supply; fixture installation; and gas piping"
30,Master Plumber License,State Licensing Board,Construction,Plumbing,600,200,0,0,"Journeyman Plumber License|1-3 years additional experience",Master,Trade License,"AL|AK|AZ|AR|CA|CT|DE|FL|GA|HI|ID|IA|KY|LA|ME|MD|MA|MI|MN|MS|MT|NE|NV|NH|NJ|NM|NC|ND|OH|OK|OR|RI|SC|SD|TN|TX|UT|VT|VA|WA|WV|WI|WY","Highest-level plumbing license authorizing supervision; hiring; and permit pulling for all plumbing work including medical gas and backflow systems"
31,Backflow Prevention Assembly Tester,ABPA,Construction,Plumbing,475,200,2,24,"5 years practical experience in plumbing; mechanical; fire protection; or irrigation",Intermediate,Specialty,Recommended,"Certification for testing and repairing backflow prevention assemblies to protect potable water supplies; required by most municipalities"
32,Medical Gas Installer (ASSE 6010),ASSE International,Construction,Plumbing,900,300,3,0,"Journeyman Plumber License|Specialized training",Advanced,Specialty,Recommended,"Certification for installing medical gas systems including oxygen; nitrous oxide; nitrogen; medical air; and vacuum systems in healthcare facilities"
33,Medical Gas Verifier (ASSE 6020),ASSE International,Construction,Plumbing,900,300,3,0,"Medical Gas Installer (ASSE 6010)|Additional training",Specialist,Specialty,Recommended,"Advanced certification for verifying and certifying medical gas system installations in hospitals and medical facilities per ASSE standards"
34,AWS Certified Welder (CW),AWS,Manufacturing,Welding,250,250,1,0,None,Entry,Trade License,Recommended,"Performance-based welder certification per specific welding procedure specification (WPS); must re-qualify every 6 months if not actively welding"
35,AWS Certified Welding Inspector (CWI),AWS,Manufacturing,Welding,1500,750,3,0,"5+ years welding experience or education equivalents",Advanced,Specialty,Recommended,"Three-part examination (fundamentals; practical visual inspection; code application) certifying competency in welding quality inspection"
36,AWS Senior Certified Welding Inspector (SCWI),AWS,Manufacturing,Welding,1500,750,3,0,"CWI certification|15+ years experience",Master,Specialty,Recommended,"Highest-level AWS inspection credential for senior welding professionals with extensive field experience and demonstrated expertise"
37,AWS Certified Welding Supervisor (CWS),AWS,Manufacturing,Welding,1000,500,3,0,Supervisory experience,Advanced,Specialty,Recommended,"Certification for welding supervisors demonstrating competency in managing welding operations; personnel; and quality control procedures"
38,AWS Certified Welding Educator (CWE),AWS,Manufacturing,Welding,1000,500,3,0,"CWI or equivalent|Teaching experience",Advanced,Specialty,Recommended,"Certification for welding instructors demonstrating competency in teaching welding theory; techniques; and safety practices"
39,AWS Certified Robotic Arc Welding (CRAW),AWS,Manufacturing,Welding,750,375,3,0,Robotic welding experience,Specialist,Specialty,Recommended,"Certification for robotic arc welding programming and operation competency in automated manufacturing environments"
40,API 1104 Pipeline Welding Endorsement,API,Energy,Welding,970,500,3,0,AWS CWI or SCWI certification,Specialist,Specialty,Recommended,"Endorsement added to CWI/SCWI for welding of pipelines and related facilities; 6G position is most sought-after qualification"
41,API 510 Pressure Vessel Inspector,API,Energy,Welding,500,250,3,0,"5+ years experience in pressure vessel inspection",Advanced,Specialty,Recommended,"Certification for inspecting; repairing; and altering pressure vessels in petroleum refineries; chemical plants; and industrial facilities"
42,API 570 Piping Inspector,API,Energy,Welding,500,250,3,0,"5+ years experience in piping inspection",Advanced,Specialty,Recommended,"Certification for inspecting; repairing; and altering piping systems in petroleum refineries; chemical plants; and industrial facilities"
43,API 653 Aboveground Storage Tank Inspector,API,Energy,Welding,500,250,3,0,"5+ years experience in tank inspection",Advanced,Specialty,Recommended,"Certification for inspecting; repairing; and reconstructing aboveground storage tanks in petroleum and chemical industries"
44,NASCLA Commercial General Building Contractor Exam,NASCLA,Construction,General Contracting,500,0,0,0,"Experience requirements vary by state",Intermediate,Trade License,"AL|AZ|AR|FL|GA|LA|MS|NV|NC|OR|SC|TN|UT|VA|WV","Standardized contractor examination accepted across multiple states; passing does not automatically grant license — state application still required"
45,PMP (Project Management Professional),PMI,Construction,General Contracting,555,60,3,60,"4-year degree + 36 months project experience + 35 hours education|OR high school + 60 months + 35 hours",Advanced,Management,Recommended,"Industry-standard project management certification; construction PMs with PMP earn 20-25% more; requires 60 PDUs per renewal cycle"
46,NCCCO Mobile Crane Operator,NCCCO,Construction,Heavy Equipment,3000,500,5,0,"DOT medical card|Substance abuse testing",Intermediate,Equipment,All,"OSHA-mandated certification for mobile crane operators covering lattice boom crawler; lattice boom truck; and telescopic boom crane specialties"
