id,provider_name,type,certifications_offered,trade,state,city,format,cost_min,cost_max,duration,financial_aid,website,description
1,ClickSafety,Online Platform,"OSHA 10|OSHA 30|HAZWOPER 8|HAZWOPER 24|HAZWOPER 40|Fall Protection|Scaffolding|Excavation|Confined Spaces|DOT Hazmat",General Safety,US,Online,Online,59,159,10-30 hours,No,https://www.clicksafety.com,"First provider to offer OSHA 10/30 online; enterprise dashboards and compliance tracking for 10000+ organizations"
2,360training (OSHAcampus),Online Platform,"OSHA 10|OSHA 30|EPA 608|HAZWOPER|Food Safety",Multiple,US,Online,Online,49,160,10-30 hours,No,https://www.360training.com,"Multi-industry compliance training with 4M+ users; frequent coupon campaigns can drop OSHA 30 under $90"
3,CareerSafe,Online Platform,OSHA 10|OSHA 30,General Safety,US,Online,Online,49,189,10-30 hours,No,https://www.careersafeonline.com,"Fastest DOL card delivery at 2 business days with no extra fee; popular for workers with tight job-start deadlines"
4,OSHAcademy,Online Platform,OSHA 10|OSHA 30|100+ Safety Courses,General Safety,US,Online,Online,0,100,10-30 hours,Free,https://www.oshaacademy.com,"Free access to study materials with 100+ courses; users only pay for certificates of completion"
5,OSHA.com (UL Solutions / PureSafety),Online Platform,OSHA 10|OSHA 30|State-Specific OSHA,General Safety,US,Online,Online,89,189,10-30 hours,No,https://www.osha.com,"UL Solutions backed OSHA training with state-specific course options and DOL card delivery in 2-4 weeks"
6,OSHA Outreach Courses,Online Platform,OSHA 10|OSHA 30,General Safety,US,Online,Online,49,189,10-30 hours,No,https://www.oshaoutreachcourses.com,"OSHA-authorized online provider offering 10 and 30 hour Construction and General Industry courses with DOL card"
7,SkillCat,Online Platform,"EPA 608|EPA 609|OSHA 10|NATE Ready-to-Work|HVAC Diploma|Plumbing Diploma|Electrical Diploma",Multiple,US,Online,Online,10,10,Varies,No,https://www.skillcatapp.com,"Mobile app with 300K+ students; EPA 608 exam for just $10 with 98% pass rate; IACET-accredited"
8,Interplay Learning (NATE Academy),Online Platform,NATE Certification (all levels),HVAC,US,Online,Online,30,100,Varies,No,https://www.interplaylearning.com/partner/nate/,"Exclusive NATE online prep partner with interactive 3D/VR simulations and on-demand video courses"
9,Penn Foster,Online Platform,"HVAC Technician Diploma|Residential Electrician Diploma|Refrigeration Mechanic|Electrical Maintenance",Multiple,US,Online,Online,50,200,6-12 months,WIOA,https://www.pennfoster.edu/programs/trades,"Structured online trade career diplomas with customized payment plans and first-payment match programs"
10,Smart Buildings Academy,Online Platform,"BAS100 Fundamentals|BAS001 A to Z|Building Automation Technician Certificate",HVAC,US,Online,Online,100,500,11 weeks,No,https://www.smartbuildingsacademy.com,"Vendor-agnostic building automation training used by 2000+ companies including Trane and Honeywell"
11,Drone Pilot Ground School,Online Platform,FAA Part 107 Remote Pilot Certificate,Multiple,US,Online,Online,199,299,20-40 hours,No,https://www.dronepilotgroundschool.com,"70K+ students with 99% first-time pass rate; pass guarantee includes testing fee coverage if you fail"
12,GBRI,Online Platform,"LEED Green Associate|LEED AP BD+C|LEED AP O+M|WELL AP",Multiple,US,Online,Online,199,249,40-80 hours,No,https://www.gbrionline.org,"LEED exam prep with scholarship program offering 30-50% off; student and military discounts available"
13,Red Cross Online,Online Platform,CPR/AED|First Aid|BLS|Wilderness First Aid,General Safety,US,Online,Hybrid,35,90,4-8 hours,No,https://www.redcross.org/take-a-class/cpr,"Online knowledge portion with required in-person skills session; 2-year OSHA-compliant certification"
