id,program_name,sponsor,type,trade,industry,state,city,duration_years,ojt_hours,classroom_hours,starting_wage_pct,ending_wage_pct,journeyman_wage,union_affiliation,prerequisites,application_url,description
1,Electrical Training Alliance of Central Florida (ETACF),IBEW Local 606 & NECA,Union JATC,Inside Wireman,Construction,FL,Orlando,5,8000,900,40,90,35.00,IBEW Local 606,18+|HS Diploma|Valid DL|Drug Test|Aptitude Test,https://www.etacfl.org/how-to-apply,Tuition-free 5-year inside wireman program covering electrical theory; NEC code; motor controls; and conduit installation with biweekly 9-hour class sessions.
2,Florida East Coast Electrical JATC (FECJATC),IBEW Local 728 & NECA,Union JATC,Inside Wireman,Construction,FL,West Palm Beach,5,8000,900,40,90,34.00,IBEW Local 728,18+|HS Diploma|Valid DL|Drug Test|Aptitude Test,https://www.fecjatc.com/,South Florida JATC program leading to journeyman inside wireman certification with DOL Certificate of Completion.
3,Tampa Area Electrical JATC,IBEW Local 915 & NECA,Union JATC,Inside Wireman,Construction,FL,Tampa,5,8000,900,40,90,34.00,IBEW Local 915,18+|HS Diploma|Valid DL|Drug Test|Aptitude Test,https://www.tampajatc.org/apply,Tampa Bay region electrical apprenticeship covering Hillsborough; Polk; and surrounding counties.
4,Jacksonville Electrical JATC,IBEW Local 177 & NECA,Union JATC,Inside Wireman,Construction,FL,Jacksonville,4,8000,900,40,90,33.00,IBEW Local 177,18+|HS Diploma|Valid DL|Drug Test|Aptitude Test,https://www.ibewlocal177.org/apprenticeship,Northeast Florida electrical apprenticeship training inside wiremen for residential; commercial; and industrial work.
5,Central Florida Electrical JATC,IBEW Local 349 & NECA,Union JATC,Inside Wireman,Construction,FL,Multiple,5,8000,900,40,90,34.00,IBEW Local 349,18+|HS Diploma|Valid DL|Drug Test|Aptitude Test,https://cfelectricaljatc.org/how-to-apply,Central Florida regional electrical apprenticeship with rolling application acceptance.
6,Daytona Beach Electrical JATC,IBEW & NECA,Union JATC,Inside Wireman,Construction,FL,Daytona Beach,5,8000,900,40,90,33.00,IBEW,18+|HS Diploma|Valid DL|Drug Test|Aptitude Test,https://etadb.org/application/,Daytona Beach area inside wireman and sound & communication installer apprenticeship program.
7,Gainesville Electrical JATC,IBEW & NECA,Union JATC,Inside Wireman,Construction,FL,Gainesville,5,8000,900,40,90,32.00,IBEW,18+|HS Diploma|Valid DL|Drug Test|Aptitude Test,https://www.ibewapprenticeship.org,North Central Florida electrical apprenticeship for inside wireman certification.
8,Gulf Coast Electrical JATC,IBEW & NECA,Union JATC,Inside Wireman,Construction,FL,Fort Myers,5,8000,900,40,90,33.00,IBEW,18+|HS Diploma|Valid DL|Drug Test|Aptitude Test,https://www.ibew756.org/apprenticeship,Southwest Florida and Gulf Coast region inside wireman apprenticeship program.
9,Northwest Florida Electrical JATC,IBEW Local 222 & NECA,Union JATC,Inside Wireman,Construction,FL,Pensacola,5,8000,900,40,90,32.00,IBEW Local 222,18+|HS Diploma|Valid DL|Drug Test|Aptitude Test,https://www.ibewlocal222.org/apprenticeship,Northwest Florida panhandle region electrical apprenticeship program.
10,Southwest Florida Electrical JATC,IBEW Local 756 & NECA,Union JATC,Inside Wireman,Construction,FL,Naples,5,8000,900,40,90,33.00,IBEW Local 756,18+|HS Diploma|Valid DL|Drug Test|Aptitude Test,https://www.ibew756.org/apprenticeship,Southwest Florida electrical apprenticeship covering the Naples and Fort Myers areas.
11,UA Local 123 JATC -- Plumbing & Pipefitting,UA Local 123,Union JATC,Plumbing & Pipefitting,Construction,FL,Tampa,5,9000,1080,40,90,35.00,UA Local 123,18+|HS Diploma|Valid FL DL|Drug Test|Official Transcript,https://lu123.com/,Tampa Bay plumbing; pipefitting; and HVAC apprenticeship covering Hillsborough; Pinellas; and Pasco counties.
12,UA Local 234 JATC -- Plumbing & Pipefitting,UA Local 234,Union JATC,Plumbing & Pipefitting,Construction,FL,Jacksonville,5,9000,1080,40,90,34.00,UA Local 234,18+|HS Diploma|Valid FL DL|Drug Test|Official Transcript,https://ua234.com/,Northeast Florida plumbing; pipefitting; welding; and HVAC service technician apprenticeship.
13,UA Local 295 JATC -- Plumbing & Pipefitting,UA Local 295,Union JATC,Plumbing & Pipefitting,Construction,FL,Daytona Beach,5,9000,1080,40,90,33.00,UA Local 295,18+|HS Diploma|Valid FL DL|Drug Test|Official Transcript,http://ualocal295.com/,Central East Florida 5-year plumbing and pipefitting apprenticeship for residential; commercial; and industrial work.
14,UA Local 519 -- Plumbing,UA Local 519,Union JATC,Plumbing,Construction,FL,Miami,5,9000,1080,40,90,36.00,UA Local 519,18+|HS Diploma|Valid FL DL|Drug Test|Official Transcript,https://ua519.com/apprenticeship,South Florida plumbing apprenticeship serving Miami-Dade County and surrounding areas.
15,UA Local 630 JATC -- Plumbing & HVAC,UA Local 630,Union JATC,Plumbing & HVAC,Construction,FL,West Palm Beach,5,9000,1080,40,90,35.00,UA Local 630,18+|HS Diploma|Valid FL DL|Drug Test|Official Transcript,https://lu630.org/,Palm Beach County plumbing; pipefitting; and HVAC apprenticeship program.
16,UA Local 803 -- Plumbing & Pipefitting,UA Local 803,Union JATC,Plumbing & Pipefitting,Construction,FL,Orlando,5,9000,1080,40,90,34.00,UA Local 803,18+|HS Diploma|Valid FL DL|Drug Test|Official Transcript,https://localunion803.org/,Central Florida plumbing apprenticeship covering Lake; Orange; Osceola; and Seminole counties.
17,Florida Carpenters Regional Council Apprenticeship,Florida Carpenters Regional Council (FLCRC),Union JATC,Carpentry,Construction,FL,Multiple,4,6800,640,50,90,30.00,UBC - Carpenters Local 1809,18+|HS Diploma|Valid DL|Drug Test,https://flcrc.org/,4-year carpentry apprenticeship with six specialty fields; funded by Southern District Training Trust Fund at no cost.
18,ABC Central Florida Electrical Apprenticeship,ABC Central Florida Chapter,Non-Union ABC,Electrical,Construction,FL,Orlando,4,8000,576,45,85,32.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abccentralflorida.com/apprenticeships/,Non-union registered electrical apprenticeship with NCCER certification and merit-based advancement.
19,ABC Central Florida HVAC Apprenticeship,ABC Central Florida Chapter,Non-Union ABC,HVAC,Construction,FL,Orlando,4,8000,576,45,85,30.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abccentralflorida.com/apprenticeships/,Air conditioning apprenticeship through ABC Central Florida with hands-on training and NCCER credentials.
20,ABC Central Florida Plumbing Apprenticeship,ABC Central Florida Chapter,Non-Union ABC,Plumbing,Construction,FL,Orlando,4,8000,576,45,85,31.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abccentralflorida.com/apprenticeships/,Registered plumbing apprenticeship partnering with local contractors and educational institutions.
21,ABC Florida East Coast Electrical Apprenticeship,ABC Florida East Coast Chapter,Non-Union ABC,Electrical,Construction,FL,West Palm Beach,4,8000,576,45,85,32.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abceastflorida.com/,Construction Apprenticeship School offering registered electrical programs with comprehensive safety training.
22,ABC Florida Gulf Coast Electrical Apprenticeship,ABC Florida Gulf Coast Chapter,Non-Union ABC,Electrical,Construction,FL,Tampa,4,8000,576,45,85,32.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abcflgulf.org/,Non-union electrical apprenticeship covering west coast Florida from Gainesville south to Naples.
23,ABC Florida Gulf Coast Plumbing Apprenticeship,ABC Florida Gulf Coast Chapter,Non-Union ABC,Plumbing,Construction,FL,Tampa,4,8000,576,45,85,31.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abcflgulf.org/,Registered plumbing apprenticeship through ABC Gulf Coast serving Tampa Bay and surrounding areas.
24,ABC Northeast Florida Electrical Apprenticeship,ABC Northeast Florida Chapter,Non-Union ABC,Electrical,Construction,FL,Jacksonville,4,8000,576,45,85,32.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://www.abcnefl.org/apprenticeships,Non-union registered electrical apprenticeship for the Jacksonville and Northeast Florida region.
25,ABC Southeast Florida Electrical Apprenticeship,ABC Southeast Florida Chapter,Non-Union ABC,Electrical,Construction,FL,Miami,4,8000,576,45,85,33.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://www.abcsefl.org/apprenticeships,Non-union electrical apprenticeship serving Miami-Dade and Broward counties.
