id,trade,state,metro_area,current_employment,projected_growth_pct,annual_openings,shortage_estimate,demand_level,top_sectors,bls_soc_code,median_wage,emerging_driver,description
1,Electrician,US,National,818700,9.0,81000,120000,Critical,"Residential|Commercial|Data Centers|Solar|EV Infrastructure",47-2111,62350,Data Centers,"Electricians are the #1 hardest-to-fill trade nationally; demand driven by data centers; solar PV integration; EV charging infrastructure; and grid modernization"
2,Plumber/Pipefitter,US,National,504500,4.0,44000,80000,Very High,"Residential|Commercial|Infrastructure|Fire Protection",47-2152,62970,Infrastructure,"Broad demand spanning plumbing; process piping; fire suppression; and steamfitting across virtually every construction sector"
3,HVAC Technician,US,National,409200,8.0,40100,70000,Critical,"Residential|Commercial|Data Centers|Industrial",49-9021,59810,Heat Pumps,"Climate demands; data center precision cooling; heat pump adoption; and energy code compliance drive severe nationwide shortage"
4,Welder,US,National,413500,2.0,45600,45000,High,"Infrastructure|Manufacturing|Shipbuilding|Nuclear",51-4121,48940,Manufacturing Reshoring,"Despite modest growth projections; high annual openings reflect significant replacement needs; specialized welders earn $80K-$150K+"
5,Carpenter,US,National,718800,4.0,74100,60000,High,"Residential|Commercial|Infrastructure|Disaster Rebuild",47-2031,56350,Housing Deficit,"One of the largest trade occupations with high absolute annual openings; specializations include framing; finish; formwork; and millwork"
6,Heavy Equipment Operator,US,National,478800,4.0,46200,50000,High,"Infrastructure|Site Development|Mining|Pipeline",47-2073,55280,IIJA Infrastructure,"Highway and bridge construction funded by IIJA; site development; and data center site preparation drive strong demand"
7,Ironworker,US,National,68900,4.0,7000,8000,High,"Commercial|Bridges|Data Centers|Seismic Retrofit",47-2221,60770,Data Centers,"Structural steel for high-rise commercial; bridge construction; data center steel; and seismic retrofit work"
8,Roofer,US,National,133800,6.0,12700,20000,Very High,"Residential|Commercial|Hurricane Recovery|Solar",47-2181,47780,Storm Recovery,"Hurricane recovery; solar panel mounting systems; new construction; and re-roofing of aging building stock"
9,Concrete Worker,US,National,200000,4.0,20000,25000,High,"Infrastructure|Commercial|Data Centers|Residential",47-2051,49330,Infrastructure,"Highway and bridge construction; commercial foundation work; data center slab systems; and tilt-up construction"
10,Sheet Metal Worker,US,National,127600,2.0,10600,12000,Moderate,"Commercial HVAC|Architectural|Industrial|Data Centers",47-2211,58560,Data Centers,"Commercial HVAC ductwork; architectural metal work; industrial ventilation; and data center containment systems"
