id,industry,category,subcategory,related_jobs,related_certifications,top_states,market_size,growth_outlook,avg_salary,description
1,Construction,Electrical,Residential Wiring,"Residential Electrician|Electrical Apprentice|Maintenance Electrician|Remodel Electrician","Journeyman Electrician License|OSHA 10|NFPA 70E|CPR/First Aid","TX|FL|CA|NC|AZ",18.5,High,61590,Electricians who install; maintain; and repair wiring in single-family homes; apartments; and condominiums
2,Construction,Electrical,Commercial/Industrial,"Commercial Electrician|Industrial Electrician|Electrical Foreman|Controls Electrician","Journeyman Electrician License|Master Electrician License|OSHA 30|NFPA 70E|NICET","TX|CA|FL|NY|OH",24.0,High,76600,Electricians specializing in office buildings; factories; hospitals; and large-scale commercial or industrial facilities
3,Construction,Electrical,Low Voltage/Data,"Low Voltage Technician|Fire Alarm Installer|Security Systems Tech|Structured Cabling Tech|AV Installer","NICET Fire Alarm|BICSI RCDD|ESA/NTS Certification|OSHA 10","CA|TX|VA|NY|WA",9.2,Very High,58000,Technicians who install and maintain fire alarm; security; data cabling; and audiovisual systems in buildings
4,Energy & Utilities,Electrical,Linework,"Electrical Lineworker|Line Apprentice|Transmission Lineman|Distribution Lineman|Line Foreman","CDL Class A|OSHA 10|CPR/First Aid|Climbing Certification|NCCER Electrical Lineworker","TX|CA|FL|GA|LA",12.0,High,82000,Lineworkers who install; maintain; and repair overhead and underground power lines and distribution systems
5,Construction,Electrical,Data Center Electrical,"Data Center Electrician|Critical Power Technician|Facilities Engineer|UPS Technician","Journeyman Electrician License|OSHA 30|NFPA 70E|BICSI DCDC|EPA 608","VA|TX|CA|OH|OR",8.5,Very High,95000,Electricians specializing in critical power infrastructure; UPS systems; and generators for data center facilities
6,Construction,HVAC/Mechanical,Residential HVAC,"HVAC Installer|HVAC Service Tech|Residential HVAC Tech|HVAC Apprentice","EPA 608 Universal|NATE Certification|R-410A Safety|OSHA 10|CPR/First Aid","FL|TX|AZ|CA|GA",15.3,High,54100,Technicians who install; maintain; and repair heating and cooling systems in residential homes and apartments
7,Construction,HVAC/Mechanical,Commercial HVAC,"Commercial HVAC Tech|HVAC Mechanic|Building Engineer|Chiller Technician","EPA 608 Universal|NATE Certification|OSHA 30|Journeyman HVAC License|BAS Certification","CA|TX|NY|FL|IL",20.1,High,68000,HVAC professionals working on large-scale systems in commercial buildings; hospitals; schools; and retail complexes
8,Construction,HVAC/Mechanical,Refrigeration,"Refrigeration Technician|Walk-in Cooler Tech|Supermarket Refrigeration Tech|Industrial Refrigeration Mechanic","EPA 608 Universal|RETA CIRO|NATE Commercial Refrigeration|OSHA 10","CA|TX|FL|NY|WA",7.8,High,62000,Technicians who install; maintain; and repair commercial and industrial refrigeration systems including cold storage and supermarket equipment
9,Construction,HVAC/Mechanical,Data Center Cooling,"Data Center HVAC Tech|Cooling Systems Engineer|Precision Cooling Technician","EPA 608 Universal|NATE Certification|OSHA 30|BICSI DCDC","VA|TX|CA|OH|GA",5.2,Very High,85000,Specialists in precision cooling and climate control systems for data centers and critical IT infrastructure
10,Construction,Plumbing & Pipefitting,Residential Plumbing,"Residential Plumber|Service Plumber|Drain Technician|Plumbing Apprentice","Journeyman Plumber License|OSHA 10|CPR/First Aid|Backflow Prevention Certification","FL|TX|CA|AZ|NC",14.0,High,62970,Plumbers who install and repair water supply; drainage; and gas systems in homes and small residential buildings
