id,name,type,industry,trades_hired,state,city,employees,revenue,union_status,benefits,website,description
1,"MasTec, Inc.",General Contractor,Construction,Electrical|Pipefitting|Heavy Equipment|Welding|Telecom,FL,Coral Gables,20000,13500,Both,Health|401k|Training|Per Diem,https://www.mastec.com/,Florida-headquartered infrastructure giant specializing in power delivery; telecom; and pipeline construction across the US
2,Coastal Construction,General Contractor,Construction,Concrete|Carpentry|Electrical|Plumbing|HVAC|Ironwork,FL,Miami,325,858,Non-Union,Health|401k|Training,https://coastalconstruction.com/,Premier South Florida general contractor specializing in high-rise residential; commercial; and hospitality projects
3,Kaufman Lynn Construction,General Contractor,Construction,Carpentry|Electrical|Plumbing|HVAC|Concrete,FL,Delray Beach,300,500,Non-Union,Health|401k|Training,https://www.kaufmanlynn.com/,Full-service general contractor focused on commercial; healthcare; and education projects in Southeast Florida
4,Moss Construction,General Contractor,Construction,Carpentry|Concrete|Electrical|Plumbing|HVAC,FL,Fort Lauderdale,500,800,Non-Union,Health|401k|Training,https://www.mosscm.com/,Leading Florida contractor specializing in multifamily; hospitality; and commercial construction
5,Suffolk Construction,General Contractor,Construction,Carpentry|Concrete|Electrical|Plumbing|HVAC|Ironwork,FL,Miami,600,1000,Both,Health|401k|Training|Per Diem,https://suffolk.com/,National contractor with major Florida operations across Miami; West Palm Beach; Tampa; and Estero
6,Brasfield & Gorrie,General Contractor,Construction,Carpentry|Concrete|Electrical|Plumbing|HVAC,FL,Multiple,500,500,Non-Union,Health|401k|Training,https://www.brasfieldgorrie.com/,Southeast-focused general contractor building healthcare; hospitality; and mixed-use projects across Florida
7,Balfour Beatty US,General Contractor,Construction,Carpentry|Electrical|Plumbing|HVAC|Heavy Equipment,FL,Plantation,400,400,Both,Health|401k|Pension|Training,https://www.balfourbeattyus.com/,International contractor with Florida headquarters in Broward County; specializing in K-12; higher ed; and military
8,Robins & Morton,General Contractor,Construction,Carpentry|Electrical|Plumbing|HVAC|Concrete,FL,Orlando,300,300,Non-Union,Health|401k|Training,https://www.robinsmorton.com/,National contractor focused on healthcare and hospitality projects in Central Florida
9,Holder Construction,General Contractor,Construction,Electrical|HVAC|Plumbing|Carpentry|Concrete,FL,Multiple,200,200,Non-Union,Health|401k|Training,https://www.holderconstruction.com/,Data center and healthcare specialist with multiple Florida offices
10,DPR Construction,General Contractor,Construction,Electrical|HVAC|Plumbing|Carpentry|Concrete,FL,Orlando,200,200,Non-Union,Health|401k|Training|ESOP,https://www.dpr.com/,Employee-owned contractor focused on healthcare; tech; and higher ed projects in Florida
11,The Related Group,General Contractor,Residential,Concrete|Carpentry|Electrical|Plumbing|HVAC|Ironwork,FL,Miami,200,400,Non-Union,Health|401k|Training,https://www.relatedgroup.com/,Miami-based luxury residential developer and construction company known for high-rise condominiums
12,Plaza Construction,General Contractor,Construction,Carpentry|Concrete|Electrical|Plumbing|HVAC,FL,Miami,150,350,Both,Health|401k|Training,https://www.plazaconstruction.com/,Hospitality; residential; and commercial general contractor with Florida office in Miami
13,Lennar Corporation,Homebuilder,Residential,Framing|Electrical|Plumbing|HVAC|Roofing|Concrete|Flooring|Painting,FL,Miami,10000,35500,Non-Union,Health|401k|Training,https://www.lennar.com/,Largest Florida-based homebuilder with statewide operations; dominant market share with 916 permits per month
