id,name,type,state,city,programs,cost_min,cost_max,duration_months,accreditation,placement_rate,financial_aid,online_available,url,description
1,Universal Technical Institute - Avondale,National Chain,AZ,Avondale,Automotive|Diesel|Collision Repair|Welding|EV Training,22900,45037,12,ACCSC,82,Yes,No,https://www.uti.edu,Flagship UTI campus offering automotive; diesel; collision repair; welding; and EV training with manufacturer partnerships including BMW; Toyota; and NASCAR
2,Universal Technical Institute - Rancho Cucamonga,National Chain,CA,Rancho Cucamonga,Automotive|Diesel|Collision Repair|Welding|EV Training,22900,54950,12,ACCSC,82,Yes,No,https://www.uti.edu,Southern California UTI campus with the highest tuition in the UTI system; offering full automotive and diesel technology programs
3,Universal Technical Institute - Sacramento,National Chain,CA,Sacramento,Automotive|Diesel|Collision Repair|Welding|EV Training,22900,45390,12,ACCSC,82,Yes,No,https://www.uti.edu,Northern California UTI campus providing automotive; diesel; and welding technology programs with manufacturer-specific training
4,Universal Technical Institute - Orlando,National Chain,FL,Orlando,Automotive|Diesel|Collision Repair|Welding|EV Training,22900,51800,12,ACCSC,82,Yes,No,https://www.uti.edu,Orlando UTI campus offering hands-on automotive and diesel training with access to GI Bill and MyCAA military benefits
5,Universal Technical Institute - Lisle,National Chain,IL,Lisle,Automotive|Diesel|Collision Repair|Welding|EV Training,22900,46202,12,ACCSC,82,Yes,No,https://www.uti.edu,Chicago-area UTI campus in Lisle providing automotive; diesel; and welding programs with strong employer partnership placement
6,Universal Technical Institute - Canton,National Chain,MI,Canton,Automotive|Diesel|Collision Repair|Welding|EV Training,17252,17252,12,ACCSC,82,Yes,No,https://www.uti.edu,Most affordable UTI campus nationally; located in Michigan's automotive heartland with strong industry connections
7,Universal Technical Institute - Mooresville,National Chain,NC,Mooresville,Automotive|Diesel|CNC Machining|Welding|EV Training,22900,51800,9,ACCSC,82,Yes,No,https://www.uti.edu,Mooresville UTI campus near Charlotte offering a unique 36-week CNC Machining Technology program alongside automotive and diesel
8,Universal Technical Institute - Exton,National Chain,PA,Exton,Automotive|Diesel|Collision Repair|Welding|EV Training,22900,61605,12,ACCSC,82,Yes,No,https://www.uti.edu,Pennsylvania UTI campus with one of the highest tuition rates in the system; offering comprehensive automotive and diesel training
9,Lincoln Tech - Mahwah,National Chain,NJ,Mahwah,HVAC|Electrical|Welding|Automotive|Diesel,20000,28425,12,ACCSC,79,Yes,No,https://www.lincolntech.edu,New Jersey Lincoln Tech campus with 79% graduation rate; offering electrician program at $28;425 and strong trade placement
10,Lincoln Tech - Paramus,National Chain,NJ,Paramus,HVAC|Electrical|Welding|Automotive|Practical Nursing,20000,33554,12,ACCSC,70,Yes,No,https://www.lincolntech.edu,Paramus campus offering trade and nursing programs with 70% graduation rate and 70-90% job placement for graduates
