id,state,state_abbr,trade,industry,license_required,license_type,license_name,issuing_authority,experience_years,exam_required,application_fee,renewal_fee,renewal_years,reciprocity_states,bond_required,bond_amount,insurance_required,notes
1,California,CA,General Engineering,Construction,Yes,State License,A General Engineering Contractor,CSLB,4,Yes,450,450,2,AZ|LA|NV,Yes,25000,Yes,Fixed works: irrigation; power plants; tunnels; bridges; dams; pipelines; highways
2,California,CA,General Building,Construction,Yes,State License,B General Building Contractor,CSLB,4,Yes,450,450,2,AZ|LA|NV,Yes,25000,Yes,Requires 2+ unrelated building trades; cannot self-perform >50% specialty work without C license
3,California,CA,Insulation,Construction,Yes,State License,C-2 Insulation and Acoustical Contractor,CSLB,4,Yes,450,450,2,AZ|LA|NV,Yes,25000,Yes,Thermal; acoustical; and fire-resistive insulation
4,California,CA,Boiler and Steam Fitting,Construction,Yes,State License,C-4 Boiler Hot Water Heating and Steam Fitting,CSLB,4,Yes,450,450,2,AZ|LA|NV,Yes,25000,Yes,Boilers; hot water heating; steam fitting
5,California,CA,Framing,Construction,Yes,State License,C-5 Framing and Rough Carpentry Contractor,CSLB,4,Yes,450,450,2,AZ|LA|NV,Yes,25000,Yes,Structural framing; form work; rough carpentry
6,California,CA,Cabinet and Finish Carpentry,Construction,Yes,State License,C-6 Cabinet Millwork and Finish Carpentry,CSLB,4,Yes,450,450,2,AZ|LA|NV,Yes,25000,Yes,Cabinets; countertops; trim; finish carpentry
7,California,CA,Low Voltage,Construction,Yes,State License,C-7 Low Voltage Systems Contractor,CSLB,4,Yes,450,450,2,AZ|LA|NV,Yes,25000,Yes,Fire/life safety systems; communication systems; access control; low-voltage wiring
8,California,CA,Concrete,Construction,Yes,State License,C-8 Concrete Contractor,CSLB,4,Yes,450,450,2,AZ|LA|NV,Yes,25000,Yes,Concrete foundations; flatwork; reinforcing; post-tension; shotcrete
9,California,CA,Drywall,Construction,Yes,State License,C-9 Drywall Contractor,CSLB,4,Yes,450,450,2,AZ|LA|NV,Yes,25000,Yes,Drywall; plaster; stucco installation
10,California,CA,Electrical,Construction,Yes,State License,C-10 Electrical Contractor,CSLB,4,Yes,450,450,2,AZ|LA|NV,Yes,25000,Yes,Electrical systems; wiring; fixtures; apparatus; required for projects over $1000
